name;category;description
Ibis Rio de Janeiro Parque Olimpico ;hotel;Ibis Rio de Janeiro Parque Olimpico está localizado em Rio de Janeiro. Conta com wi-fi grátis nas áreas comuns, serviço de manobrista e mesa de sinuca, além de recepção 24h.Você precisa saber: • Proibido fumar em todos os ambientes. A hospedagem serve diariamente o café da manhã com custo adicional, o qual se oferece no bar. Entre os serviços da propriedade encontram-se business center, jardim e elevador. Por um custo adicional, a propriedade conta com depósito de bagagem e serviço de lavanderia.
Windsor Excelsior Hotel ;hotel;Conforto e serviços únicos à beira-mar  O Windsor Excelsior Hotel tem localização privilegiada com vista panorâmica para a Praia de Copacabana, palco de grandes eventos e da maior festa de Réveillon do mundo. O bairro é conhecido pelo belo calçadão da orla, e pelas diversas opções de lazer, gastronomia e cultura.   Para hospedagens a lazer ou a trabalho, oferecemos uma experiência única com infraestrutura completa de um hotel quatro estrelas membro da rede Windsor Hoteis.  Sua localização é estratégica para quem deseja explorar as maravilhas da cidade do Rio de Janeiro, próximo a diversos terminais de transporte, como aeroportos e metrô.
Hotel Atlântico Rio ;hotel;Situado a 500 m da famosa e badalada Praia de Copacabana, no Rio de Janeiro, o Hotel Atlântico Rio 4 estrelas dispõe de piscina ao ar livre e oferece café da manhã diário gratuito. A propriedade fica a 5 minutos a pé da Estação de Metrô do Cantagalo e a 10 minutos de caminhada da Lagoa Rodrigo de Freitas. O hotel possui restaurante e uma localização privilegiada; além disso, você vai encontrar vários lugares onde poderá almoçar e jantar, a cerca de 2 minutos a pé do local. Todos os quartos têm decoração contemporânea e dispõem de ar-condicionado, TV de tela plana a cabo de 32" e frigobar. O serviço de quarto também está à sua disposição. As comodidades do hotel ainda incluem um bar, que serve bebidas especiais e coquetéis. O Hotel Atlântico Rio fica a 8 km do Pão de Açúcar, a 2,5 km da Praia de Ipanema e a 14 km do Estádio do Maracanã. O Forte de Copacabana fica a 1,8 km de distância. O Aeroporto Santos Dumont está a 11,5 km de distância, e o Aeroporto Internacional do Galeão fica a 26 km do local. Copacabana é uma ótima escolha para viajantes interessados em caminhadas na praia, passeios e paisagens. 01 criança Free até 08 anos no mesmo apartamento acomodada na cama com os pais. 
LSH Lifestyle Hotel ;hotel;Luxo como estilo de vida.  Localizado de frente para a praia da Barra da Tijuca, próxima à mundialmente famosa praia do Pepê, o LSH Hotel foi inaugurado em 2016 e é um dos mais luxuosos hotéis do Rio de Janeiro. Aproveite uma decoração moderna e um design fruto do trabalho de alguns dos mais renomados arquitetos do mundo, em quartos revestidos com o mais rico e exótico mármore turco, marcenaria italiana, torneiras importadas, revigorantes chuveiros rainshower e móveis com design exclusivo do hotel. Todas as habitações possuem uma espaçosa varanda privativa, muitas das quais com espetaculares vistas para o mar e para as montanhas, além de TV de LED de 50 polegadas, WiFi gratuito, macios lençóis de 300 fios de algodão, roupões de banho, chinelos e toiletries L'Occitane. Os hóspedes que procuram algo ainda mais exuberante, podem perder o fôlego nas piscinas particulares de nossas suítes de até 400 m2 com, salas, áreas de estar e vista frontal para o mar.  A piscina, debruçada no Oceano Atlântico, com borda infinita e fundo de vidro, é o lugar ideal para relaxar em uma das nossas cabanas privadas ou aproveitar uma bebida enquanto curte o espetacular por do sol no bar. Se preferir, também pode aproveitar o clima descontraído em nosso icônico bar no lobby.   Nos arredores, à distância de poucos passos, toda a rica diversidade do polo gastronômico e da vida noturna do Jardim Oceânico estão à sua disposição, com uma infinidade de bares, restaurantes e clubs. Ou se preferir, saboreie dentro do hotel a culinária do Esplanada Grill, a mais premiada casa de carnes do Rio de Janeiro, que também assina nosso serviço de quarto.  A um raio de 15 minutos de carro está o mais luxuoso centro de compras do Rio de Janeiro (Village Mall), além de casas de espetáculo, arenas de shows e esportivas, dois campos de Golf e tudo que o Rio de Janeiro tem a oferecer. Você também está a 10 minutos de caminhada da Estação de Metrô da Barra da Tijuca.  A espaçosa área de eventos do hotel, com 4 salões ricamente acabados e com capacidade total de 560 pessoas tornam o hotel ideal para eventos especiais de todos os tamanhos... 
VELINN Reserva Copacabana ;hotel;Situado no Rio de Janeiro, a 400 metros da Praia de Copacabana e a 5 km da Lagoa Rodrigo de Freitas, o VELINN Reserva Copacabana oferece acomodações com Wi-Fi gratuito, ar-condicionado, bar e lounge compartilhado. Há um banheiro privativo totalmente equipado com chuveiro e secador de cabelo. Para sua comodidade, um café da manhã continental é servido diariamente. Há uma churrasqueira e um terraço na propriedade, e você pode fazer trilhas nas proximidades. O VELINN Reserva Copacabana fica a 6 km do Jardim Botânico do Rio de Janeiro e a 8 km do Pão de Açúcar. O Aeroporto Santos Dumont é o mais próximo, situado a 8 km da acomodação, que pode providenciar serviço de transfer (aeroporto) por um custo adicional. 
CLH Suites Copacabana Domingos Ferreira ;flat/apart hotel;Viva o Rio com a melhor energia. Suites super confortáveis 100 equipadas com camas, banheiro privativo, ar condicionado e Wi-fi. Excelente qualidade pelo melhor preço em uma localização sem igual: a tão somente uma quadra da praia mais famosa do mundo! Aproveite um deliciosa café-da-manhã caseiro e saia pra passear pelo calçadão. Nossa equipe de profissionais está pronto e ansioso pra brindar-lhe uma estadia maravilhosa. O que você está esperando. Venha aproveitar Copacabana conosco.
Hotel Atlantico Praia ;hotel;<p><b>Localização do estabelecimento</b> <br />Em Rio de Janeiro (na área de Copacabana), Hotel Atlantico Praia está a 5 minutos de carro de Shopping Rio Sul e de Pão de Açúcar.  Este hotel na praia fica a 3,6 km de Praia Vermelha e a 4,1 km de Mirante do Pasmado.</p><p><b>Quartos</b> <br />Sinta-se em casa em um de nossos 111 quartos com ar-condicionado, frigobares e TVs LCD. Wi-Fi de cortesia está disponível para manter você conectado. Banheiro privativo com chuveiros apresenta produtos de toalete de cortesia e secadores de cabelo. As comodidades incluem cofres e escrivaninhas. Além disso, o serviço de arrumação nos quartos é fornecido diariamente.</p><p><b>Comodidades</b> <br />Aproveite as comodidades recreativas, como uma piscina externa, ou aprecie a vista em um jardim. Este hotel oferece comodidades adicionais, como Wi-Fi de cortesia e serviços de concierge.</p><p><b>Alimentação</b> <br />Saboreie uma deliciosa refeição no um restaurante ou hospede-se no local e aproveite o serviço de quarto (horário limitado) deste hotel. Feche o fia com uma bebida refrescante em um bar/lounge. Um café da manhã (buffet) de cortesia é servido diariamente, entre 6h00 e 10h00.</p>
DiRoma Internacional Resort - BVTUR ;resort;Conforto e tranquilidade é o que lhe espera no diRoma International Resort. Um condomínio de lazer localizado na maior estância hidrotermal do mundo. Um complexo para o seu lazer e de sua família. Apartamentos com TV, frigobar, telefone, ar condicionado, som ambiente, varanda e demais complementos para todo o requinte e conforto de nossos hóspedes.  . Gastronomia Ambientes confortáveis, além de um atendimento que dá gosto, e o melhor da cozinha nacional esperando por você no coração do Brasil. Bom apetite!  . Esporte e Recreação Nosso Hotel conta com uma programação de lazer voltada para todas as idades. Caminhadas, hidroginástica, recreação infantil, jogos e muito mais.  . Sala para Eventos Nosso hotel oferece excelente espaço para realização de seu evento. Uma sala com capacidade para auditório. 
Praias do Lago Eco Resort ;resort;A sua praia exclusiva em Caldas Novas! No Praias do Lago Eco Resort, você e sua família têm tudo que precisam em um só lugar. O mais novo resort de Caldas Novas conta com uma estrutura sem igual com complexo de lojas, centro gastronômico, piscinas termais, ofurôs, academia, brinquedoteca, cinema, parque aquático infantil, equipe de lazer para todas as idades e muito mais! Tudo isso em meio à natureza exuberante às margens do Lago Corumbá. Um pedaço do litoral no paraiso das  águas quentes em Goiás entrega um mar de diversão para toda família.
Privé Alta Vista Thermas Resort ;resort;O condomínio Alta Vista Thermas Resort é composto por cinco torres de seis pavimentos cada, estacionamento coberto, áreas comerciais, de lazer e comuns. O empreendimento é dotado de 221 apartamentos com ar condicionado nos quartos e sala, sendo 53 apartamentos de um quarto, composto por uma cama de casal no quarto e um sofá-cama na sala e 168 de dois quartos composto por uma suíte com cama de casal, um quarto com duas camas de solteiro e um sofá-cama na sala.  Seu parque aquático possui 4 piscinas de água termal para adultos, sendo 1 coberta; 1 piscina de água termal infantil; 1 de água fria adulto. Conta ainda com: 3 ofurôs, sauna, academia, salão de jogos, cineminha, brinquedoteca, quadra de esportes e playground seco/molhado. Além de restaurante, bar e loja de conveniência/souvenirs.   *Recreação é para crianças de 03 a 17 anos, sendo que de 03 a 07 anos é obrigatório a presença de um responsável , e a partir de 07 anos livre, com a autorização do responsável.*.
Apartment diRoma Resort - Achei Férias ;resort;<p><b>Localização do estabelecimento</b> <br />Em Caldas Novas, este apart-hotel fica a cerca de 10 minutos de carro de SESC (Serviço Social do Comércio) e de Jardim Japonês.  Este apart-hotel para famílias fica a 24,7 km de Hot Parque e a 1,5 km de Monumento das Águas Quentes.</p><p><b>Quartos</b> <br />Este apart-hotel com ar-condicionado, cozinhas, geladeiras e cooktops tem tudo para deixar você confortável. Disponibilizamos Wi-Fi de cortesia para mantê-lo conectado. As comodidades incluem micro-ondas e o serviço de arrumação nos quartos é oferecido uma vez por estadia.</p><p><b>Comodidades</b> <br />Relaxe em uma das 6 piscinas externas ou 3 banheiras de hidromassagem e aproveite outras instalações recreativas, incluindo um toboágua. Este apart-hotel também oferece Wi-Fi de cortesia e sala de jogos.</p><p><b>Alimentação</b> <br />Este apart-hotel oferece aos hóspedes deliciosas opções de refeição no um restaurante ou na lanchonete/delicatessen.</p>
Plaza Inn Small Town Flat ;hotel;Com localização central em São Paulo, o Plaza Inn Small Town Flat fica a 10 minutos de carro do Expo Center Norte e da Igreja Mundial do Poder de Deus. Este apart-hotel está a 9,2 km da Avenida Paulista e a 9,9 km do Allianz Parque. Sinta-se em casa em um dos nossos 104 quartos com ar-condicionado e cozinhas americanas. As TVs LCD com programas digitais garantem sua diversão, enquanto o Wi-Fi de cortesia mantém você conectado. As comodidades incluem cofres e salas de estar separadas. Além disso, o serviço de arrumação nos quartos é fornecido diariamente. Aproveite as instalações recreativas, que incluem uma piscina externa, uma quadra de tênis externa e uma sauna seca. Experimente as deliciosas opções de almoço ou jantar no Terraço Sunset, o restaurante deste apart-hotel, ou hospede-se no local e aproveite o serviço de quarto (horário limitado). Feche o dia com uma bebida refrescante em um bar/lounge. Um café da manhã (buffet) de cortesia é servido diariamente, entre 7h00 e 10h00.
PORTOBELLO PRAIA  RESORT- PORTO SEGURO;resort;Com excepcional localização, frente ao mar na Praia de Taperapuã, à 6,5 Km do centro e 07 km do aeroporto, pode-se desfrutar da beleza natural da praia durante o dia e toda a badalação da orla à noite.  
Resort La Torre ;resort;LA TORRE RESORT EM PORTO SEGURO ONDE CONFORTO E SERVICOS EXCEPCIONAIS SAO OS NOSSOS COMPROMISSOS. O LA TORRE RESORT ESTA LOCALIZADO EM PORTO SEGURO EM UMA DAS MAIS BELAS FAIXAS DE PRAIAS QUE O BRASIL TEM PARA OFERECER. CADA APARTAMENTO DO LA TORRE RESORT ESTA HARMONICAMENTE PROJETADO PARA EXPRESSAR NOSSO COMPROMISSO PESSOAL DE OFERECER TOTAL CONFORTO PARA OS NOSSOS HOSPEDES DURANTE A ESTADA EM NOSSO HOTEL. 
Ondas Praia Resort ;resort;Somos o Ondas por um motivo: o natural nos pertence. Como o Brasil, também somos casas de um verde exuberante, árvores típicas e temos uma relação intima com o mar. Somos cercados por ele e ficamos a metros da areia da praia. Ainda temos programações de pura diversão para você e sua família, adultos e crianças. Isso tudo banhado pelo delicioso sol baiano e animado por nossos recreadores incansáveis. O empreendimento beira-mar compreende 32000 metros quadrados de área. O hotel também conta com uma estrutura dotada de 484 quartos com 44,5 metros quadrados, a fim de comportar famílias inteiras confortavelmente em regime de diversão total e ininterrupta.  Este hotel tem protocolo especial COVID 19 e é obrigatório o web check-in antecipado. Acesse a página https://wamcleansafe.ondasresort.com.br/ que garantirá a diversão de sempre, mas com segurança redobrada.
CHARLIE NUN ITAIM;não classificado;
Novotel SP Jardins ;hotel;O Novotel SP Jardins conta com uma ótima localização, a 1km da Avenida Paulista, ficando próximo à rua Oscar Freire, ao Museu de Arte de São Paulo (MASP) e com fácil acesso ao Aeroporto de Congonhas. O hotel, situado no bairro Jardins, em São Paulo, além de facilidades como internet wireless e salas de reuniões, conta com academia, piscina e sauna.
Barra Resort - Praia, Piscina e Conforto;resort;Ola!Apartamento de Temporada, exclusivo, fechadura eletrônica, garagem, piscina, até 5 pessoas. TV a cabo, Wi-Fi, ar condicionado, completo, pertinho da praia! Fica na Avenida Lucio Costa, Copacabana, perto de transportes, comércios e serviços. A região é muito charmosa, bem frequentada e com muitas lojas e lugares interessantes para comer e visitar!A cada 7 dias trocamos roupas de cama e banho, basta pedir, ok?Conte conosco para planejar sua viagem, dicas, bilhetes e lavanderia.Sua reserva é exclusiva, para o uso de toda a acomodação, até a capacidade informada de pessoas. Convidados são bem-vindos!A hospedagem é completa, possui todas as funcionalidades de uma casa normal, toda pensada para lhe atender com conforto e segurança!Detalhadamente:Banheiro: Secador de cabelo, Ducha higiênica, Água quente a gás.Acomodação: Cama Queen, Colchão de solteiro, roupas de cama e banho, ar condicionado, TV com canais abertos e IPTV, ventilador, cortina com blackout, ferro de passar, secador de cabelo, guarda-roupa, cabides, sofá, blackout na cortina, cozinha com equipamentos e utensílios completos, fechadura eletrônica na entrada, varanda, closet.Dois destaques da sua hospedagem são o aconchego e silêncio que ele oferece, ao mesmo tempo dentro e fora da cidade. Pertinho da praia, muita gente leva seus pets e crianças para correr e brincar, enquanto desaceleram da correria do dia a dia.IMPORTANTE: podemos te ajudar com tickets, transfer, câmbio, lavanderia. Avise, caso deseje economizar tempo, podemos deixar o máximo de coisas adiantadas.Nosso apartamento no condomínio Ocean Drive é o que você precisa para se sentir muito especial! Localizado em um dos melhores pontos da Barra da Tijuca, é um apartamento quarto e sala, cozinha completa e atende perfeitamente até 4 pessoas! Sua hospedagem possui 1 cama de casal, 1 sofá cama, TV a cabo, Wi-Fi, ar condicionado, itens de casa e água quente.Você se hospedará a pouquíssimos metros da praia, terá todos os comércios locais que precisar farmácias, mercados, lojinhas! Isso sem contar os principais transportes da cidade: táxi, uber, ônibus e metrô. No bairro você está perto de ótimos restaurantes, lindas vistas, em frente a praia e com opções de transportes e comércios. Prédio residencial, seguro e aconchegante; ideal para famílias e grupo de amigos que vêm relaxar e curtir um pouco!Durante sua estadia, a cada 7 dias trocamos roupas de cama e banho, pedimos apenas que nos avise 1 dia antes de desejar a troca.O Check-in é feito remotamente, com senha ou chave, conforme a disponibilidade local.No dia da sua chegada, às 13h, enviaremos as instruções. É importante que você tenha Wi-fi para recebê-las, ok? Avise o quanto antes caso você precise de algo diferente.Os hóspedes precisam ser identificados, para segurança de todos, daí, quando faltar 2 dias para sua chegada, reforçaremos o pedido de foto dos documentos. Não se preocupe, seus dados serão protegidos, à luz da LGPD.Temos arrumadeira que pode trabalhar no asseio durante sua estadia, mantendo a casa sempre arrumada, a um custo acessível, avise nos se desejar ou precisar!Adoramos ajudar! Se precisar planejar sua viagem, tirar dúvidas, pode escrever!Toda comunicação é exclusivamente pelo site da sua reserva, de domingo a domingo, de 08:00 as 20:00. É importante focarmos, para segurança e rapidez, ok?Conte conosco para urgências ou emergências, pois sabemos que fora de casa, toda ajuda é bem-vinda!Barra da Tijuca é um bairro que funciona 24h e é muito charmoso!Você se hospedará a poucos metros de uma das praias mais conhecidas do mundo, terá todos os comércios locais que precisar farmácias, mercados, lojinhas, feira livre, isso sem contar os principais transportes da cidade: táxi, uber, ônibus e metrô. Dos aeroportos até aqui são cerca de 20 min do SDU e 50 min do GIG.No entorno há restaurantes desde baratos a charmosos, além de mercados, farmácias, lojas e tudo o que você possa precisar de um bairro comum, praticamente 24h por dia.Conte conosco para o que precisar de bilhetes ou tirar dúvidas sobre a cidade!Diariamente: metrô, ônibus e táxis para entrar e sair da cidade.Apps importantes:Uber, 99 e Taxi Rio: para transporte privativo.Moovit: para rotas de ônibus, metrô e trens;Melhores opções de transporte: a pé, metrô, trens e coletivos, a cidade é muito engarrafada.Aeroporto ou porto: Táxi ou Uber.Se você preferir, a gente te busca no aeroporto, porto ou rodoviária. Usamos carro sedan médio.SDU, Porto ou Rodoviária: R$ 120.GIG: R$ 150Cabo Frio e Búzios: R$ 600Angra e ilha Grande: R$ 800Solicite com pelo menos 2 dias de antecedência.
Life Residence ;hotel;Apart-Hotel no coração de Belo Horizonte com as melhores comodidades! Quartos com cozinha e sala, espaços para hóspede com piscina, spa, área gourmet e uma equipe bilíngue para melhor atende-los!
Chalés do Beto em Macacos;não classificado;\0
San Diego Apart- Hotel;hotel;\0
BH PARA 2 - ORLA DA PAMPULHA - Apartamento particular;não classificado;\0
Pousada Vila da Serra - Quarto do Amor;pousada;\0
EXECUTIVE SUITE 106a VILA OLIMPIA;hotel;\0
